Seat No.,PH-121,HS-101,CY-105,HS-105/12,MT-111,CS-105,CS-106,EL-102,EE-119,ME-107,CS-107,HS-205/20,MT-222,EE-222,MT-224,CS-210,CS-211,CS-203,CS-214,EE-217,CS-212,CS-215,MT-331,EF-303,HS-304,CS-301,CS-302,TC-383,MT-442,EL-332,CS-318,CS-306,CS-312,CS-317,CS-403,CS-421,CS-406,CS-414,CS-419,CS-423,CS-412,CGPA
CS-97001,2.7,1.3,1.7,2.0,1.7,1.3,1.0,1.7,2.7,1.7,1.7,3.3,1.0,3.7,2.7,2.3,1.3,1.3,1.0,4.0,1.0,1.7,2.0,1.7,2.3,3.0,2.0,2.3,3.3,2.0,1.7,2.0,1.7,1.7,1.7,1.7,3.7,4.0,1.7,3.0,3.7,2.205
CS-97002,4.0,1.0,1.3,1.0,2.7,2.0,1.0,4.0,1.3,1.0,3.3,2.3,2.7,1.7,1.3,1.3,1.0,2.0,1.0,2.7,2.0,1.0,1.3,1.0,1.7,3.7,1.3,1.7,1.7,2.0,3.7,1.0,1.3,1.0,2.0,1.0,3.7,2.7,2.0,2.0,3.0,2.008
CS-97003,4.0,3.0,4.0,2.7,3.3,4.0,2.7,3.3,3.7,3.7,2.7,3.7,4.0,4.0,4.0,4.0,4.0,4.0,3.7,4.0,3.7,4.0,4.0,2.3,4.0,3.3,3.7,3.0,4.0,3.3,3.7,3.7,3.0,3.0,4.0,2.0,4.0,4.0,4.0,3.7,4.0,3.608
CS-97004,1.0,2.3,1.3,1.0,1.0,3.7,1.3,1.7,1.0,2.3,1.0,3.0,1.3,2.7,1.0,2.0,3.3,2.3,1.0,1.3,1.0,1.0,1.3,1.0,2.7,1.0,2.7,1.3,1.7,1.3,3.3,1.7,1.3,2.0,1.3,1.7,2.7,3.0,2.3,2.3,2.3,1.906
CS-97005,3.7,3.7,3.7,3.3,4.0,4.0,3.7,3.3,4.0,3.7,2.0,4.0,4.0,3.7,3.7,3.7,2.7,4.0,3.7,4.0,3.7,3.7,2.3,1.7,3.7,2.7,3.7,2.3,3.7,3.7,2.7,3.7,2.7,3.3,3.3,2.7,3.7,4.0,3.7,3.7,4.0,3.448
CS-97006,4.0,2.7,3.0,1.3,2.3,3.7,2.3,3.0,3.3,3.3,1.7,3.7,2.7,3.3,3.7,3.3,3.0,3.7,3.0,3.7,3.7,2.3,3.3,1.7,3.7,2.7,2.3,3.0,3.7,3.7,2.7,3.3,2.0,2.7,2.3,2.3,3.7,3.7,3.3,2.7,3.0,3.026
CS-97007,2.7,1.7,3.7,1.0,3.7,3.0,4.0,3.3,3.7,3.3,3.7,4.0,2.0,2.3,1.7,2.7,2.7,3.3,2.0,4.0,2.3,1.7,2.3,2.3,3.3,3.3,3.0,1.7,3.3,3.7,2.0,2.3,2.7,2.0,3.3,2.7,4.0,3.7,3.3,3.3,4.0,2.957
CS-97008,3.3,3.3,2.3,2.0,2.0,3.7,1.7,3.7,3.0,3.7,3.3,4.0,3.3,3.3,2.0,3.7,3.3,3.7,2.0,3.7,2.3,2.0,2.0,2.3,3.7,1.3,3.7,2.0,3.7,3.0,3.0,3.3,1.3,3.3,3.3,2.0,4.0,3.3,3.7,3.7,3.7,3.043
CS-97009,3.7,2.0,3.7,1.3,3.0,3.7,3.7,3.7,3.3,3.7,3.7,4.0,4.0,3.7,2.7,3.7,3.7,4.0,2.7,4.0,2.3,2.3,3.7,1.7,3.3,3.0,3.0,3.3,4.0,3.7,3.3,3.7,3.3,3.0,2.7,2.3,4.0,3.7,3.3,3.7,4.0,3.358
CS-97010,4.0,3.0,2.3,3.0,3.0,3.7,2.0,2.7,3.7,4.0,2.3,3.7,2.7,4.0,3.7,4.0,2.7,4.0,2.7,3.7,2.7,3.7,3.0,3.3,3.7,2.7,2.7,2.3,3.0,3.3,2.7,3.7,2.3,2.7,3.3,2.7,4.0,4.0,3.7,3.0,4.0,3.247
